timestamp,code,msg_type
2026-08-05T09:33:18.416,03196T,depth
2026-08-05T09:33:18.416,03197T,depth
2026-08-05T09:33:18.530,03011T,depth
2026-08-05T09:33:18.604,03011T,depth
2026-08-05T09:33:18.604,03182T,depth
2026-08-05T09:33:18.604,03011T,depth
2026-08-05T09:33:18.683,03182T,depth
2026-08-05T09:33:18.686,03182T,depth
2026-08-05T09:33:19.000,03046T,depth
2026-08-05T09:33:19.066,03011T,depth
2026-08-05T09:33:19.066,03182T,depth
2026-08-05T09:33:19.066,03077T,depth
2026-08-05T09:33:19.161,03046T,depth
2026-08-05T09:33:19.243,03011T,depth
2026-08-05T09:33:19.245,03182T,depth
2026-08-05T09:33:19.245,03077T,depth
2026-08-05T09:33:19.751,03046T,depth
2026-08-05T09:33:19.829,03011T,depth
2026-08-05T09:33:19.830,03182T,depth
2026-08-05T09:33:19.832,03077T,depth
2026-08-05T09:33:20.755,03077T,depth
2026-08-05T09:33:20.824,03046T,depth
2026-08-05T09:33:20.826,03077T,depth
2026-08-05T09:33:20.826,03046T,depth
2026-08-05T09:33:20.826,03077T,depth
2026-08-05T09:33:20.967,03195T,depth
2026-08-05T09:33:21.031,03194T,depth
2026-08-05T09:33:21.033,03196T,depth
2026-08-05T09:33:21.033,03197T,depth
2026-08-05T09:33:21.033,03046T,depth
2026-08-05T09:33:21.033,03077T,depth
2026-08-05T09:33:21.094,03077T,depth
2026-08-05T09:33:21.094,03046T,depth
2026-08-05T09:33:21.330,03182T,depth
2026-08-05T09:33:21.399,03182T,depth
2026-08-05T09:33:21.399,03011T,depth
2026-08-05T09:33:21.399,03182T,depth
2026-08-05T09:33:21.399,03011T,depth
2026-08-05T09:33:21.462,03011T,depth
2026-08-05T09:33:21.525,03197T,depth
2026-08-05T09:33:21.525,03195T,depth
2026-08-05T09:33:21.525,03196T,depth
2026-08-05T09:33:21.525,03194T,depth
2026-08-05T09:33:21.769,03196T,depth
2026-08-05T09:33:21.844,03197T,depth
2026-08-05T09:33:21.844,03046T,depth
2026-08-05T09:33:21.846,03195T,depth
2026-08-05T09:33:21.846,03194T,depth
2026-08-05T09:33:21.846,03011T,depth
2026-08-05T09:33:21.846,03077T,depth
2026-08-05T09:33:21.846,03182T,depth
2026-08-05T09:33:21.951,03182T,depth
2026-08-05T09:33:22.016,03011T,depth
2026-08-05T09:33:22.017,03074T,depth
2026-08-05T09:33:22.017,03074T,depth
2026-08-05T09:33:22.019,03074T,depth
2026-08-05T09:33:22.020,03074T,depth
2026-08-05T09:33:22.020,03074T,depth
2026-08-05T09:33:22.020,03074T,depth
2026-08-05T09:33:22.020,03074T,depth
2026-08-05T09:33:22.079,03074T,depth
2026-08-05T09:33:22.296,03194T,depth
2026-08-05T09:33:22.363,03196T,depth
2026-08-05T09:33:22.453,03195T,depth
2026-08-05T09:33:22.455,03197T,depth
2026-08-05T09:33:22.457,03046T,depth
2026-08-05T09:33:22.521,03046T,depth
2026-08-05T09:33:22.521,03077T,depth
2026-08-05T09:33:22.521,03077T,depth
2026-08-05T09:33:22.584,03077T,depth
2026-08-05T09:33:22.646,03011T,depth
2026-08-05T09:33:22.711,03046T,depth
2026-08-05T09:33:22.711,03077T,depth
2026-08-05T09:33:22.711,03182T,depth
2026-08-05T09:33:23.315,03074T,depth
